Label,MPID
ARCA,ARCA
BNYC,BNYC
CDRG,CDRG
CITI,CITI
DBAB,DBAB
EDGX,EDGX
G1ES,G1ES
JRCO,JRCO
SGMA,SGMA
UBSS,UBSS
VRTU,VRTU
WOLV,WOLV
FBCO,FBCO
CITADEL SECURITIES LLC,CDRG
Citadel Execution Services,CDRG
Citadel Securities,CDRG
Citadel Execution Service,CDRG
TVIRT,VRTU
VIRTU FINANCIAL CAPITAL MARKETS LLC,VRTU
VIRTU Americas LLC,VRTU
NITE,VRTU
KEDGK,EDGX
UBS Securities LLC,UBSS
TUBSS,UBSS
UBS,UBSS
Two Sigma,SGMA
TSOHO,SGMA
"Two Sigma Securities, LLC",SGMA
G1X,G1ES
TETMM,G1ES
G1 Execution Services,G1ES
TSBSH,CITI
Citi Order Routing & Exec LLC,CITI
TWSEA,WOLV
PARCAX,ARCA
Cantor Fitzgerald&Co,CFCO
Auto Trading Desk Fin Svc,ATDF
Citigroup Global Markets,CITI
DirectEdge ECN (EDGA),EDGA
BNY MELLON CAPITAL MARKET,BNYC
"Goldman, Sachs & Co",GSES
J.P.Morgan Securities LLC,JPMS
KCG Americas LLC,KCG
NYSE Arca,ARCA
Virtu Financial Capital,VRTU
TGSCO,GSES
Deutsche Bank ATS,DBAB
Deutsche Bank Securities,DBAB
"DirectEdge ECN (EDGX)",EDGX
"DirectEdge Exchange(EDGX)",EDGX
Goldman Sachs Ex,GSES
"Goldman Sachs Exec&Clear",GSES
Goldman Sachs Execution,GSES
"Wolverine Execution Svc.,",WOLV
"Aqua Securities L. P.",AQUA
"BGC Financial, L.P.",BGC
Credit Suisse,FBCO
Credit Suisse ASE,FBCO
UBS Securities LLC,UBSS
